[MoviePy] >>>> Building video output.mp4
[MoviePy] Writing video output.mp4
[MoviePy] Done.
[MoviePy] >>>> Video ready: output.mp4 

         1172247431 function calls (1172212343 primitive calls) in 5261.091 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap>:436(spec_from_loader)
     1351    0.031    0.000    0.133    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
1351/1246    0.013    0.000    6.676    0.005 <frozen importlib._bootstrap>:570(module_from_spec)
    14/13    0.000    0.000    0.065    0.005 <frozen importlib._bootstrap>:630(_load_backward_compatible)
   1365/7    0.030    0.000   19.945    2.849 <frozen importlib._bootstrap>:659(_load_unlocked)
     1511    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:716(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
     1743    0.011    0.000    0.015    0.000 <frozen importlib._bootstrap>:74(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
     1506    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:789(find_spec)
     4698    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap>:852(__enter__)
     4698    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:856(__exit__)
      175    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
     1511    0.053    0.000    2.494    0.002 <frozen importlib._bootstrap>:879(_find_spec)
      228    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
   1565/5    0.030    0.000   19.977    3.995 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
     2418    0.026    0.000    0.027    0.000 <frozen importlib._bootstrap>:94(acquire)
   1565/5    0.036    0.000   19.978    3.996 <frozen importlib._bootstrap>:966(_find_and_load)
  228/226    0.004    0.000    0.320    0.001 <frozen importlib._bootstrap>:972(_gcd_import)
5836/3857    0.018    0.000    6.670    0.002 <frozen importlib._bootstrap>:996(_handle_fromlist)
      146    0.056    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
     2245    0.008    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       23    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:1086(_legacy_get_spec)
     1506    0.025    0.000    2.401    0.002 <frozen importlib._bootstrap_external>:1101(_get_spec)
     1506    0.006    0.000    2.408    0.002 <frozen importlib._bootstrap_external>:1133(find_spec)
      147    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
     1176    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
       45    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1198(find_loader)
     1346    0.011    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
     2103    0.090    0.000    2.277    0.001 <frozen importlib._bootstrap_external>:1215(find_spec)
      147    0.004    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
      147    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1315(_fix_up_module)
     2352    0.032    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
     2103    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
     1346    0.011    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
    10792    0.018    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
     1176    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
       45    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:402(_find_module_shim)
     1176    0.054    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
     2352    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
     1176    0.013    0.000    0.460    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
    11408    0.042    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     1348    0.018    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
    11408    0.042    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
     2352    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
     1176    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:656(create_module)
   1176/6    0.017    0.000   18.888    3.148 <frozen importlib._bootstrap_external>:659(exec_module)
     5465    0.013    0.000    1.989    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     1176    0.043    0.000    4.973    0.004 <frozen importlib._bootstrap_external>:729(get_code)
     2186    0.011    0.000    1.923    0.001 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
     1176    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:786(__init__)
     1176    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
     1176    0.362    0.000    4.333    0.004 <frozen importlib._bootstrap_external>:816(get_data)
     1176    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
     1999    0.006    0.000    1.925    0.001 <frozen importlib._bootstrap_external>:87(_path_isfile)
      170    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:892(__init__)
  170/135    0.003    0.000    6.536    0.048 <frozen importlib._bootstrap_external>:903(create_module)
      170    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
      187    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       20    0.000    0.000    0.000    0.000 <string>:12(__new__)
      109    0.000    0.000    0.001    0.000 <string>:16(_make)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
      109    0.000    0.000    0.001    0.000 <string>:24(_replace)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(Attrs)
        1    0.000    0.000    0.000    0.000 <string>:5(BartlettResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatistic2dResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticddResult)
        1    0.000    0.000    0.000    0.000 <string>:5(CallSignatureDetails)
